MC_Charge.Artikel;MC_Charge.Charge;MC_Charge.VerteilerGruppe;MC_Charge.LieferantenCharge;MC_Charge.KundenCharge;MC_Charge.PruefZeugnis;MC_Charge.VerfallsDatum;MC_Charge.Herkunftsland;MC_Charge.Bemerkung1;MC_Charge.Bemerkung2;MC_Charge.Bemerkung3;MC_Charge.Bemerkung4;MC_Charge.LetzterZugang;MC_Charge.LetzterAbgang;MC_Charge.AnlageBenutzer;MC_Charge.Anlagedatum;MC_Charge.AenderungBenutzer;MC_Charge.AenderungDatum;BBM_WflLockStatus.BBM_WflLockStatus_ID;MC_Charge.ArtVar;MC_Charge.uCI_ChangeNoBOM;MC_Charge.uCI_ChangeNoDrawing;MC_Charge.uCI_ChangeNoProcess;MC_Charge.uCI_IndexNoBOM;MC_Charge.uCI_IndexNoDrawing;MC_Charge.uCI_IndexNoProcess;MC_Charge.CustomerIndex;MC_Charge.CustomerSubIndex
;;;;;;?;QU;;;;;?;?;;today;;?;0;;;;;;?;;;
Column;Column Name;Description / Remark;Location in Proalpha;Data Type;Format
1;Teil;Part;MC_Charge.Artikel;CHARACTER;x(20);
2;Chargennummer;Lot Number;MC_Charge.Charge;CHARACTER;x(20);
3;Verteilergruppe;Work Group;MC_Charge.VerteilerGruppe;CHARACTER;x(6);
4;Lieferantencharge;Supplier Lot;MC_Charge.LieferantenCharge;CHARACTER;x(20);
5;Kundencharge;Customer Lot;MC_Charge.KundenCharge;CHARACTER;x(20);
6;Prüfzeugnis;Certificate of Analysis;MC_Charge.PruefZeugnis;CHARACTER;x(30);
7;Verfallsdatum;Expiration Date;MC_Charge.VerfallsDatum;DATE;99.99.9999;
8;Ursprungsland;Country of Origin;MC_Charge.Herkunftsland;CHARACTER;x(3);
9;Bemerkung1;Remark1;MC_Charge.Bemerkung;CHARACTER;x(50);
10;Bemerkung2;Remark2;MC_Charge.Bemerkung;CHARACTER;x(50);
11;Bemerkung3;Remark3;MC_Charge.Bemerkung;CHARACTER;x(50);
12;Bemerkung4;Remark4;MC_Charge.Bemerkung;CHARACTER;x(50);
13;letzter Zugang;Last Warehouse In;MC_Charge.LetzterZugang;DATE;99.99.9999;
14;letzter Abgang;Last Warehouse Out;MC_Charge.LetzterAbgang;DATE;99.99.9999;
15;angelegt durch;Created By;MC_Charge.AnlageBenutzer;CHARACTER;x(12);
16;Anlagedatum;Creation Date;MC_Charge.Anlagedatum;DATE;99.99.9999;
17;geändert durch;Changed By;MC_Charge.AenderungBenutzer;CHARACTER;x(12);
18;Änderungsdatum;Change Date;MC_Charge.AenderungDatum;DATE;99.99.9999;
19;Zustand;Status;BBM_WflLockStatus.BBM_WflLockStatus_ID;INTEGER;zz9;
20;Variante;Variant;MC_Charge.ArtVar;CHARACTER;x(6);
21;ÄndNummer StüLi;Engineering Change Number BOM;MC_Charge.uCI_ChangeNoBOM;CHARACTER;x(10);
22;ÄndNummer Zeich;Engineering Change Number;MC_Charge.uCI_ChangeNoDrawing;CHARACTER;x(10);
23;ÄndNummer Prozess;Engineering Change Number Routing;MC_Charge.uCI_ChangeNoProcess;CHARACTER;x(10);
24;IndexNr Stückliste;Index Number BOM;MC_Charge.uCI_IndexNoBOM;CHARACTER;x(3);
25;IndexNr Zeichnung;Index Number Drawing;MC_Charge.uCI_IndexNoDrawing;CHARACTER;x(3);
26;IndexNr Prozess;Index Number Routing;MC_Charge.uCI_IndexNoProcess;CHARACTER;x(3);
27;Kundenindex;Customer Index;MC_Charge.CustomerIndex;CHARACTER;x(20);
28;Kundenunterindex;Customer Sub-Index;MC_Charge.CustomerSubIndex;CHARACTER;x(20);
